vehicle_id,vehicle_type,stop_sequence,location_id,demand_units,route_load_so_far,vehicle_capacity
V1,Box Truck,0,D0,0,0,120
V1,Box Truck,1,C24,12,12,120
V1,Box Truck,2,C16,13,25,120
V1,Box Truck,3,C17,19,44,120
V1,Box Truck,4,C19,5,49,120
V1,Box Truck,5,C3,18,67,120
V1,Box Truck,6,C15,17,84,120
V1,Box Truck,7,C8,12,96,120
V1,Box Truck,8,C22,5,101,120
V1,Box Truck,9,C13,19,120,120
V1,Box Truck,10,D0,0,120,120
V2,Box Truck,0,D0,0,0,120
V2,Box Truck,1,D0,0,0,120
V3,Box Truck,0,D0,0,0,120
V3,Box Truck,1,C2,8,8,120
V3,Box Truck,2,C5,19,27,120
V3,Box Truck,3,C1,14,41,120
V3,Box Truck,4,C23,16,57,120
V3,Box Truck,5,C4,20,77,120
V3,Box Truck,6,C12,22,99,120
V3,Box Truck,7,C11,17,116,120
V3,Box Truck,8,D0,0,116,120
V4,Van,0,D0,0,0,80
V4,Van,1,C25,15,15,80
V4,Van,2,C14,25,40,80
V4,Van,3,C21,13,53,80
V4,Van,4,C6,12,65,80
V4,Van,5,C20,11,76,80
V4,Van,6,D0,0,76,80
V5,Van,0,D0,0,0,80
V5,Van,1,C9,25,25,80
V5,Van,2,C18,17,42,80
V5,Van,3,C7,18,60,80
V5,Van,4,C10,20,80,80
V5,Van,5,D0,0,80,80
