vehicle_id,vehicle_type,stop_sequence,location_id,demand_units,route_load_so_far,vehicle_capacity
V1,Box Truck,0,D0,0,0,120
V1,Box Truck,1,C18,20,20,120
V1,Box Truck,2,C5,23,43,120
V1,Box Truck,3,C22,6,49,120
V1,Box Truck,4,C8,14,63,120
V1,Box Truck,5,C15,20,83,120
V1,Box Truck,6,C3,22,105,120
V1,Box Truck,7,C19,6,111,120
V1,Box Truck,8,D0,0,111,120
V2,Box Truck,0,D0,0,0,120
V2,Box Truck,1,C9,30,30,120
V2,Box Truck,2,C7,22,52,120
V2,Box Truck,3,C13,23,75,120
V2,Box Truck,4,C10,24,99,120
V2,Box Truck,5,D0,0,99,120
V3,Box Truck,0,D0,0,0,120
V3,Box Truck,1,C2,10,10,120
V3,Box Truck,2,C1,17,27,120
V3,Box Truck,3,C23,19,46,120
V3,Box Truck,4,C4,24,70,120
V3,Box Truck,5,C12,26,96,120
V3,Box Truck,6,C11,20,116,120
V3,Box Truck,7,D0,0,116,120
V4,Van,0,D0,0,0,80
V4,Van,1,C20,13,13,80
V4,Van,2,C14,30,43,80
V4,Van,3,C21,16,59,80
V4,Van,4,C6,14,73,80
V4,Van,5,D0,0,73,80
V5,Van,0,D0,0,0,80
V5,Van,1,C24,14,14,80
V5,Van,2,C25,18,32,80
V5,Van,3,C16,16,48,80
V5,Van,4,C17,23,71,80
V5,Van,5,D0,0,71,80
