vehicle_id,vehicle_type,stop_sequence,location_id,demand_units,route_load_so_far,vehicle_capacity
V1,Box Truck,0,D0,0,0,120
V1,Box Truck,1,C22,5,5,120
V1,Box Truck,2,C8,12,17,120
V1,Box Truck,3,C15,17,34,120
V1,Box Truck,4,C3,18,52,120
V1,Box Truck,5,C19,5,57,120
V1,Box Truck,6,C17,19,76,120
V1,Box Truck,7,C16,13,89,120
V1,Box Truck,8,C25,15,104,120
V1,Box Truck,9,C24,12,116,120
V1,Box Truck,10,D0,0,116,120
V2,Box Truck,0,D0,0,0,120
V2,Box Truck,1,C2,8,8,120
V2,Box Truck,2,C18,17,25,120
V2,Box Truck,3,C5,19,44,120
V2,Box Truck,4,C1,14,58,120
V2,Box Truck,5,C23,16,74,120
V2,Box Truck,6,C4,20,94,120
V2,Box Truck,7,C12,22,116,120
V2,Box Truck,8,D0,0,116,120
V3,Box Truck,0,D0,0,0,120
V3,Box Truck,1,C9,25,25,120
V3,Box Truck,2,C7,18,43,120
V3,Box Truck,3,C13,19,62,120
V3,Box Truck,4,C10,20,82,120
V3,Box Truck,5,D0,0,82,120
V4,Van,0,D0,0,0,80
V4,Van,1,C11,17,17,80
V4,Van,2,C6,12,29,80
V4,Van,3,C21,13,42,80
V4,Van,4,C14,25,67,80
V4,Van,5,C20,11,78,80
V4,Van,6,D0,0,78,80
