aircraft_id,flight_number,assigned_crew,scheduled_departure,buffer_target_completion,completion_time,delay_min,buffer_violation_min,service_status,delay_penalty_per_min,weighted_delay_cost,weighted_buffer_violation_cost
A004,DL1003,C1,09:03,08:53,11:41,158.0,168.0,Delayed,9.2,1453.6,386.4
A010,DL1009,C3,10:42,10:32,12:18,96.0,106.0,Delayed,4.97,477.12,131.7
A009,DL1008,C2,09:04,08:54,10:08,64.0,74.0,Delayed,10.31,659.84,190.74
A006,DL1005,C1,08:34,08:24,09:30,56.0,66.0,Delayed,8.63,483.28,142.4
A005,DL1004,C2,08:13,08:03,09:05,52.0,62.0,Delayed,16.7,868.4,258.85
A013,DL1012,C2,10:21,10:11,11:12,51.0,61.0,Delayed,11.33,577.83,172.78
A016,DL1015,C3,10:13,10:03,10:43,30.0,40.0,Delayed,10.97,329.1,109.7
A007,DL1006,C3,11:10,11:00,11:39,29.0,39.0,Delayed,13.43,389.47,130.94
A008,DL1007,C2,11:32,11:22,11:52,20.0,30.0,Delayed,5.57,111.4,41.78
A002,DL1001,C1,10:37,10:27,10:44,7.0,17.0,Delayed,13.85,96.95,58.86
A003,DL1002,C3,09:28,09:18,09:35,7.0,17.0,Delayed,11.87,83.09,50.45
A001,DL1000,C1,08:14,08:04,07:54,0.0,0.0,On Time,13.79,0.0,0.0
A014,DL1013,C1,08:51,08:41,08:41,0.0,0.0,On Time,11.51,0.0,0.0
A012,DL1011,C2,08:34,08:24,07:51,0.0,0.0,On Time,13.16,0.0,0.0
A011,DL1010,C3,08:32,08:22,07:51,0.0,0.0,On Time,12.68,0.0,0.0
A015,DL1014,C3,09:10,09:00,08:32,0.0,0.0,On Time,11.66,0.0,0.0
