aircraft_id,flight_number,assigned_crew,gate,aircraft_type,ready_time_min,ready_time,scheduled_departure_min,scheduled_departure,departure_buffer_min,buffer_target_completion_min,buffer_target_completion,service_time_min,start_time_min,start_time,completion_time_min,completion_time,delay_min,buffer_violation_min,service_status,delay_penalty_per_min,weighted_delay_cost,weighted_buffer_violation_cost,crew_sequence_order
A001,DL1000,C1,G5,narrow_body,378,06:18,494,08:14,10,484,08:04,54,420.0,07:00,474.0,07:54,0.0,0.0,On Time,13.79,0.0,0.0,1
A014,DL1013,C1,G7,regional,483,08:03,531,08:51,10,521,08:41,36,485.0,08:05,521.0,08:41,0.0,0.0,On Time,11.51,0.0,0.0,2
A006,DL1005,C1,G7,narrow_body,434,07:14,514,08:34,10,504,08:24,49,521.0,08:41,570.0,09:30,56.0,66.0,Delayed,8.63,483.28,142.4,3
A002,DL1001,C1,G4,wide_body,555,09:15,637,10:37,10,627,10:27,70,574.0,09:34,644.0,10:44,7.0,17.0,Delayed,13.85,96.95,58.86,4
A004,DL1003,C1,G4,narrow_body,496,08:16,543,09:03,10,533,08:53,57,644.0,10:44,701.0,11:41,158.0,168.0,Delayed,9.2,1453.6,386.4,5
A012,DL1011,C2,G3,narrow_body,405,06:45,514,08:34,10,504,08:24,51,420.0,07:00,471.0,07:51,0.0,0.0,On Time,13.16,0.0,0.0,1
A005,DL1004,C2,G4,wide_body,440,07:20,493,08:13,10,483,08:03,70,475.0,07:55,545.0,09:05,52.0,62.0,Delayed,16.7,868.4,258.85,2
A009,DL1008,C2,G5,narrow_body,429,07:09,544,09:04,10,534,08:54,52,556.0,09:16,608.0,10:08,64.0,74.0,Delayed,10.31,659.84,190.74,3
A013,DL1012,C2,G7,narrow_body,550,09:10,621,10:21,10,611,10:11,53,619.0,10:19,672.0,11:12,51.0,61.0,Delayed,11.33,577.83,172.78,4
A008,DL1007,C2,G8,regional,595,09:55,692,11:32,10,682,11:22,34,678.0,11:18,712.0,11:52,20.0,30.0,Delayed,5.57,111.4,41.78,5
A011,DL1010,C3,G2,narrow_body,420,07:00,512,08:32,10,502,08:22,51,420.0,07:00,471.0,07:51,0.0,0.0,On Time,12.68,0.0,0.0,1
A015,DL1014,C3,G8,regional,447,07:27,550,09:10,10,540,09:00,34,478.0,07:58,512.0,08:32,0.0,0.0,On Time,11.66,0.0,0.0,2
A003,DL1002,C3,G4,narrow_body,475,07:55,568,09:28,10,558,09:18,53,522.0,08:42,575.0,09:35,7.0,17.0,Delayed,11.87,83.09,50.45,3
A016,DL1015,C3,G5,narrow_body,541,09:01,613,10:13,10,603,10:03,57,586.0,09:46,643.0,10:43,30.0,40.0,Delayed,10.97,329.1,109.7,4
A007,DL1006,C3,G5,narrow_body,608,10:08,670,11:10,10,660,11:00,56,643.0,10:43,699.0,11:39,29.0,39.0,Delayed,13.43,389.47,130.94,5
A010,DL1009,C3,G8,regional,563,09:23,642,10:42,10,632,10:32,35,703.0,11:43,738.0,12:18,96.0,106.0,Delayed,4.97,477.12,131.7,6
