aircraft_id,flight_number,assigned_crew,gate,aircraft_type,ready_time_min,ready_time,scheduled_departure_min,scheduled_departure,departure_buffer_min,buffer_target_completion_min,buffer_target_completion,service_time_min,start_time_min,start_time,completion_time_min,completion_time,delay_min,buffer_violation_min,service_status,delay_penalty_per_min,weighted_delay_cost,weighted_buffer_violation_cost,crew_sequence_order
A011,DL1010,C1,G2,narrow_body,420,07:00,512,08:32,20,492,08:12,51,420.0,07:00,471.0,07:51,0.0,0.0,On Time,12.68,0.0,0.0,1
A012,DL1011,C1,G3,narrow_body,405,06:45,514,08:34,20,494,08:14,51,477.0,07:57,528.0,08:48,14.0,34.0,Delayed,13.16,184.24,111.86,2
A006,DL1005,C1,G7,narrow_body,434,07:14,514,08:34,20,494,08:14,49,536.0,08:56,585.0,09:45,71.0,91.0,Delayed,8.63,612.73,196.33,3
A010,DL1009,C1,G8,regional,563,09:23,642,10:42,20,622,10:22,35,591.0,09:51,626.0,10:26,0.0,4.0,At Risk,4.97,0.0,4.97,4
A005,DL1004,C2,G4,wide_body,440,07:20,493,08:13,20,473,07:53,70,440.0,07:20,510.0,08:30,17.0,37.0,Delayed,16.7,283.9,154.47,1
A003,DL1002,C2,G4,narrow_body,475,07:55,568,09:28,20,548,09:08,53,510.0,08:30,563.0,09:23,0.0,15.0,At Risk,11.87,0.0,44.51,2
A002,DL1001,C2,G4,wide_body,555,09:15,637,10:37,20,617,10:17,70,563.0,09:23,633.0,10:33,0.0,16.0,At Risk,13.85,0.0,55.4,3
A008,DL1007,C2,G8,regional,595,09:55,692,11:32,20,672,11:12,34,638.0,10:38,672.0,11:12,0.0,0.0,On Time,5.57,0.0,0.0,4
A001,DL1000,C3,G5,narrow_body,378,06:18,494,08:14,20,474,07:54,54,420.0,07:00,474.0,07:54,0.0,0.0,On Time,13.79,0.0,0.0,1
A009,DL1008,C3,G5,narrow_body,429,07:09,544,09:04,20,524,08:44,52,474.0,07:54,526.0,08:46,0.0,2.0,At Risk,10.31,0.0,5.16,2
A004,DL1003,C3,G4,narrow_body,496,08:16,543,09:03,20,523,08:43,57,530.0,08:50,587.0,09:47,44.0,64.0,Delayed,9.2,404.8,147.2,3
A007,DL1006,C3,G5,narrow_body,608,10:08,670,11:10,20,650,10:50,56,608.0,10:08,664.0,11:04,0.0,14.0,At Risk,13.43,0.0,47.0,4
